class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29056,10441,260,"USHJA Hunter 2'3""",8,1027,Fort Knox,Lainey Posa,Jessica Heap,,
29056,10441,260,"USHJA Hunter 2'3""",,1509,Amuze Bouche,Wendy J. Hechler,Valentini Equestrian LLC,,
29056,10441,260,"USHJA Hunter 2'3""",,1554,Going Global,Lindsay Meyer,Kendall Lacy,,
29056,10441,260,"USHJA Hunter 2'3""",,2390,Poptart,Jessica Heap,Jessica Heap,,
29057,10441,261,"USHJA Hunter 2'3""",1,1498,Untitled,Katherine Addington,Wild Sky Farm,,
29057,10441,261,"USHJA Hunter 2'3""",2,2183,Follow Me Home,Caitlin Maloney,Louise L. Petz,,
29057,10441,261,"USHJA Hunter 2'3""",3,1495,Parade,Devin A. Seek,Wild Sky Farm,,
29057,10441,261,"USHJA Hunter 2'3""",4,1966,Carli De Sabette,Vannakay Hurnevich,Vannakay Hurnevich,,
29057,10441,261,"USHJA Hunter 2'3""",5,1509,Amuze Bouche,Wendy J. Hechler,Valentini Equestrian LLC,,
29057,10441,261,"USHJA Hunter 2'3""",6,2391,Benlea Magic Dragon,Noemi Varela,Tartan Equestrian,,
29057,10441,261,"USHJA Hunter 2'3""",7,2390,Poptart,Jessica Heap,Jessica Heap,,
29057,10441,261,"USHJA Hunter 2'3""",8,1027,Fort Knox,Jessica Heap,Jessica Heap,,
29057,10441,261,"USHJA Hunter 2'3""",,1554,Going Global,Lindsay Meyer,Kendall Lacy,,
29057,10441,261,"USHJA Hunter 2'3""",,2973,Khan Of Ballmore,Angela R. Calkins,Angela R. Calkins,,
29058,10441,262,"USHJA Hunter 2'3""",1,2141,So Dashing,Jane C. Ehrhart,Sprucedale Inc,,
29058,10441,262,"USHJA Hunter 2'3""",2,2138,Madhappy,Joan V. Ehrhart,Allrsfarm LLC,,
29058,10441,262,"USHJA Hunter 2'3""",3,1495,Parade,Devin A. Seek,Wild Sky Farm,,
29058,10441,262,"USHJA Hunter 2'3""",4,1498,Untitled,Katherine Addington,Wild Sky Farm,,
29058,10441,262,"USHJA Hunter 2'3""",5,2973,Khan Of Ballmore,Mari Gromkowski,Angela R. Calkins,,
29058,10441,262,"USHJA Hunter 2'3""",6,2183,Follow Me Home,Caitlin Maloney,Louise L. Petz,,
29058,10441,262,"USHJA Hunter 2'3""",7,1966,Carli De Sabette,Maya Fischl,Vannakay Hurnevich,,
